Sr No, Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude
2505,Bhagwan Buddha Charitable Blood Bank,Uttar Pradesh,GHAZIABAD,Ghaziabad,"1St Floor, Central Market Sector 2B Vasundhara Ghaziabad",201012,0120-4356147,"+91-9599813133, 08860626562",,,bbcbb2016@gmail.com,,Mr. Dharmendra Kumar Singh,9599813134,9211845114,dharmendra.shakti17@gmail.com,,Charity,YES,YES,24hrs,UP/B&B.P/2016/23,,,28.6706087,77.3797601
2506,Dev Nandani Hospital Blood Bank,Uttar Pradesh,GHAZIABAD,Hapur,"Near Railway Crossing, Garh Road",245010,0122 3200800,N/A,N/A,N/A,,,,,,,,Private,,,24x7,,,,28.728814,77.792219
2507,Rama Medical College and Research Centre Blood Bank ,Uttar Pradesh,GHAZIABAD,Hapur,"Run by Rama Educational Society, Rama Delhi NH-24 [38km milestone] Hapur",245304,0122 2327300,8859091804,N/A,0122 2327311,,,Dr. Aditi Raina,8859091804,9910422218,rainaaditi@gmail.com,MD (Pathology),Private,YES,YES,24x7,U.P./B & B.P/2012/14,19-03-2012,18-03-2017,28.69787,77.607979
2508,Narinder Mohan Hospital and Heart Centre,Uttar Pradesh,GHAZIABAD,Mohan Nagar,"Mohan Nagar, Ghaziabad.
",201007,"0120 2657501-505, EXT No- 340","9899965656, 09899879722",,N/A,"nmhgzb@gmail.com, bloodbank@nmh.net.in",http://www.narindermohanhospital.net,"Dr. Manjushree Dubey, ","09899965356,  ","09899965356,  ",,MD (Pathology),Private,YES,YES,24x7,UP/B &BP/2012/23,26-09-2012,25-09-2017,28.666671,77.439269
2509,District Hospital Blood Bank,Uttar Pradesh,GHAZIPUR,Ghazipur,"District Hospital, Gazipur
",237001,N/A,N/A,N/A,N/A,N/A,, Dr. Ashok Kumar Mishra,9415345622,9415345622,N/A,MD Medicine,Government,NO,NO,8 AM to 7 PM,25/SC OF 1997,10/5/1997,Applied for renewal,25.582008,83.582114
2510,District Hospital Blood Bank,Uttar Pradesh,GONDA,Gonda,Balrampur,271201,05262 225358,7376068569,N/A,N/A,,,,,,,,Government,,,N/A,,,,27.409813,82.192774
2511,S.M. Medicare Private Limited,Uttar Pradesh,GORAKHPUR,Gorakhpur,"229 Betiahata , Gorakhpur",273001,0551 2338797,9935302243,N/A,N/A,smmedicarepvtltd@gmail.com,,Dr. S.S.Mishra,5512338797,9935302243,smmedicarepvtltd@gmail.com,M.B.B.S.,Private,NO,NO,24 Hours,23/SC/Pof 1998,9/7/1998,31-12-2021,#N/A,#N/A
2512,City Blood Bank,Uttar Pradesh,GORAKHPUR,Gorakhpur,"Pratibha Complex,  Infront of Jubilee Inter School, Jublee Nagar ",273001,0551 2346357,9956201174,N/A,N/A,N/A,,"Dr. P. K. Srivastav, Dr. Vinod Srivastav",9415282433,9415282433,citybloodbank1999@gmail.com,N/A,Private,YES,NO,24x7,07/S.C/P OF 1999,24-07-1999,31-12-2017,26.753844,83.364532
2513,Air Force Hospital Blood Bank,Uttar Pradesh,GORAKHPUR,Gorakhpur,Maharajganj,273014,0551 2272381,N/A,N/A,N/A,,,,,,,,Government,,,N/A,,,,26.759066,83.420833
2514,District Hospital Blood Bank,Uttar Pradesh,GORAKHPUR,Gorakhpur,Bareilly,N/A,0551 2332203,9415671941,N/A,N/A,,,,,,,,Government,,,N/A,,,,26.6869797,79.4703885
2515,Nehru Hospital and B.R.D. Medical College,Uttar Pradesh,GORAKHPUR,Gorakhpur,Gorakhpur,273013,"0551 2508815, 0551 2508814",N/A,N/A,N/A,,,,,,,,Government,,,N/A,,,,26.813424,83.400296
2516,Guru Shri Gorakhnath Chikitsalaya Blood Bank,Uttar Pradesh,GORAKHPUR,Gorakhpur, Gorakhnath Mandir,273015,"0551 2257138, 0551 2257570","08948001076, 09918068846",not available,0551 2255455,N/A,,Rajeev Tiwari,9918068846,9554447873,gorakhnathbloodbank@rediffmail.com,PGDMLT,Private,YES,YES,24x7,UP/B&BP/2005/07,27-06-2005,26-06-2015,26.776322,83.357794
2517,Fatima Hospital Blood Bank,Uttar Pradesh,GORAKHPUR,Gorakhpur,Padri Bazar,273014,0551 2281862,9453752318,N/A,N/A,,http://www.fatimahospitalgkp.com,Dr. Remya,0551 2281862,9453752318,fatimagkp@gmail.com,,Private,NO,NO,24x7,UP/B&BP/2007/08,25-04-2007,24-04-2017,26.787217,83.400142
2518,Savitri Blood Bank and Component Centre,Uttar Pradesh,GORAKHPUR,Gorakhpur,"Savitri Hospital Campus, Dilezakpur, Cinema Road
",273001," 0551 2205914, 0551 220915, 0551 2205916",9415245598,,0551 2346594,N/A,,Dr. K. M. Singh,9415259024,9415259024,N/A,MD (Pathology),Private,YES,NO,12 AM to 7 PM,U.P./B & B.P./2012/26,30-10-2012,29-10-2017,26.758493,83.364814
2519,Shree Lakhan Sewa Kailashi Chairitable Blood Bank,Uttar Pradesh,GORAKHPUR,Gorakhpur,Near Patna Chauraha Barhalganj,,7269826744,9807636642,,,,,Dr. Manoj Maddheshiya,,9807636642,manojkbb85@gmail.com,,Charity,YES,2,,,,,26.284582,83.506611
2520,District Hospital Blood Bank,Uttar Pradesh,HAMIRPUR,Hamirpur,Sitapur,208014,N/A,9412336877,N/A,N/A,,,,,,,,Government,,,24x7,,,,26.6869797,79.4703885
2521,Saraswathi Institute of Medical Science,Uttar Pradesh,HAPUR,Hapur,"NH-24, Anwarpur Pilkhuwa",245304,0122 2320511,N/A,N/A,N/A,,,,,,,,Private,YES,NO,N/A,UP/B&BP/2009/07,27/11/2014,26/11/2019,28.713701,77.692994
2522,G S Medical College & Hospital  Blood Bank,Uttar Pradesh,HAPUR,Pilkhuwa,"Village-Peeplabandpur, NH-24 ",245304,0120-2791623,9810305552,,,,,,,9810305552,gsmedicalcollege@gmail.com,,Private,YES,2,,,,,#N/A,#N/A
2523,District Hospital Blood Bank,Uttar Pradesh,HARDOI,Hardoi,Gorakhpur,241001,N/A,9670783667,N/A,N/A,,,,,,,,Government,,,N/A,,,,27.395757,80.134659
2524,Bagla Combined District Hospital Blood Bank,Uttar Pradesh,HATHRAS,Hathras,,,05722 230094,9415332416,N/A,N/A,,,,,,,,Government,,,N/A,,,,27.599857,78.049858
2525,Government Medical College and Hospital Blood Bank,Uttar Pradesh,JALAUN,Orai,"Government Medical College and Hospital, Orai",285001,05162 210201,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Government,,,24x7,N/A,N/A,N/A,25.999845,79.473401
2526,District Hospital Blood Bank,Uttar Pradesh,JAUNPUR,Jaunpur,Ghaziabad,222001,05452 263554,8192833336,N/A,N/A,,,,,,,,Government,,,24x7,,,,25.759674,82.696747
2527,M/s Isha Hospital Blood Bank,Uttar Pradesh,JAUNPUR,Jaunpur,Haribandhanpur Parav,222002,,"07535945945, 07534945945",N/A,N/A,,,,,,,,Private,,,N/A,,,,25.733137,82.672548
2528,Krishna Hart Care & Maternity Home,Uttar Pradesh,JAUNPUR,Jaunpur,"Umarpur, Haribandhanpur
",,,,,,,,Dr. Anil Kumar Maurya,,,,,Private,NO,NO,,,,,25.7399831,82.6846518
2529,Sant Diagnostic Centre and Blood Bank,Uttar Pradesh,JHANSI,Jhansi,"25/1A, Sant Bhawan, Opposite to MLB Medical College, Between Gate no -1 & 2, Kanpur Road Jhansi",284128,0510 2320831,9695290268,N/A,N/A,santbloodbankjhansi@gmail.com,http://bloodbank.nhp.gov.in/,Dr. Surender Katyal,0510 2320831,9695290268,santbloodbankjhansi@gmail.com,MD (Pathology),Private,NO,NO,24x7,UP/B AND B.P./2002/01,7/1/2002,6/1/2017,25.45845516,78.61560658
2530,MLB Medical College and Hospital,Uttar Pradesh,JHANSI,Jhansi,"Bundelkhand University,
Jhansi.",284128,N/A,9450939194,N/A,0510 2321610,N/A,http://mlbmcj.in/,Dr. D. Nath,N/A,9695290268,,MD (Pathology),Government,YES,NO,24x7,07/SC/P of 1998,21-11-2011,Applied for renewal,25.459045,78.615934
2531,District Hospital Blood Bank,Uttar Pradesh,JHANSI,Jhansi,"Shivpuri Road, Rajghat Colony, Jhansi.",284002,0510 2448442,9415364919,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,Government,NO,,24x7,N/A,N/A,N/A,25.457843,78.57868
2532,St. Judes Hospital Blood Bank,Uttar Pradesh,JHANSI,Jhansi,"St. Judes Hospital Campus,
 Sipri, Jhansi",284003,0510 2360957,9415412699,N/A,N/A,stjudeshospitaljhansi@yahoo.co.in,,Dr. V. K. Namdeo,9415943332,9415943332,N/A,M.B.B.S.;D.C.P. (Pathology),Charity,NO,NO,24 X 7,5/S.C.P/1997,18-03-1997,31-12-2017,25.462874,78.547451
2533,"Life Line Blood Bank, Military Hospital",Uttar Pradesh,JHANSI,Jhansi,Military Hospital Jhansi,2700274,0510 6516,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,Government,,,24x7,N/A,N/A,N/A,#N/A,#N/A
2534,Gaurav Diagnostic Center and Blood Bank,Uttar Pradesh,JHANSI,Jhansi,"Opposite Gate No:1, MLB Medical Collage, Jhansi",284001,0510 2320824,N/A,N/A,N/A,,,,,,,,Private,,,24x7,,,,25.4573121,78.6140817
2535,Nirmal Hospital Blood Bank,Uttar Pradesh,JHANSI,Jhansi,Opposite Medical College Gate No.-03,284128,0510 2322028,9450881860,N/A,N/A,,,,,,,,NA,,,N/A,,,,25.460278,78.617827
2536,Parakh Voluntary Blood Bank ,Uttar Pradesh,JHANSI,Jhansi,"Run by Samagra Vikash Jan Kalyan Samiti, Karguawaji Road, Opposite Gate No.-2",284128,0510 2321134,9412342308,N/A,N/A,N/A,,Dr. B.K. Gupta,9918704568,9918704568,parakhvbdjhansi@gmail.com,MD ( Pathology),Charity,YES,YES,24x7,up/B&BP/2008/13,10/12/2008,9/12/2013,25.458336,78.616978
2537,Combined District Hospital Blood Bank,Uttar Pradesh,KANNAUJ,Kannauj,"Combined District Hospital, Kannauj",,05694 237627,N/A,N/A,N/A,,,Dr. R. D. YADAV,N/A,N/A,N/A,N/A,Government,NO,NO,12x7,N/A,N/A,N/A,27.118091,79.712484
2538,B.S.D.B.A. Government Medical College and Hospital,Uttar Pradesh,KANNAUJ,Kannauj,"Tirwa - Kannauj Road, Tirwa, NH 91A, Nunari
",209732,,9415527666,N/A,N/A,N/A,,Dr. S.K. Dhruv,N/A,9415527666,drdhruvsk@gmail.com,,Government,YES,NO,24x7,,,,26.963334,79.792236
2539,Combined District Hospital (M) Blood Bank,Uttar Pradesh,KANPUR DEHAT,Akbarpur,"Akbarpur, Kanpur Dehat ",209202,05111 270728,N/A,N/A,N/A,N/A,,Dr. Vinod Pal,9935677074,N/A,N/A,N/A,Government,NO,,24x7,,,,26.380489,26.380489
2540,Mariampur Hospital and Blood Bank,Uttar Pradesh,KANPUR NAGAR,Kanpur,Shastri Nagar,208005,0512 216788,N/A,0512 3296052  0512 2235567,0512 2296530,mariampurbloodbank@gmail.com,http://mariampurhospital.com/,N/A,N/A,N/A,N/A,,Private,NO,NO,24x7,05/SC/P of 1998,N/A,N/A,26.465207,80.305556
2541,Life Line Blood Bank,Uttar Pradesh,KANPUR NAGAR,Kanpur," B-1, Sarvoday Nagar",208005,"0512 2295797, 0512 2219473",9412230493,N/A,N/A,N/A,,N/A,N/A,9839037271,N/A,N/A,Private,NO,,8AM to 7PM,10/sc/p of 1999,N/A,N/A,26.479559,80.299895
2542,Regency Hospital Limited,Uttar Pradesh,KANPUR NAGAR,Kanpur," A-2, Sarvodaya Nagar",208005,0512 2242201-10,9389476580,18001200477,5122213407,avneeshchandra@regencyhealthcare.in,http://www.regencyhospital.in/,Dr. Avneesh Chandra M.D.,5123081273,9389476580,avneeshchandra@regenchhealthcare.in,"MBBS,MD",Private,YES,NO,24 hr, 01/SC/P/ 2001,2001,31.12.2017,26.479223,80.316263
2543,GSVM Medical College Blood Bank,Uttar Pradesh,KANPUR NAGAR,Kanpur,"Swaroop Nagar, Kanpur",208002,7706922922,9450835110,0512 2535881,0512 2535881,N/A,http://www.gsvmmedicalcollege.com/,Dr. Lubna Khan,8400331179,8400331179,bloodbankgsvm1234@gmail.com,MD (Pathology),Government,YES,YES,24x7,02/SC/P of 1996,31-12-2011,1/1/2012,26.481102,80.307684
2544,Sanjeevani Blood Bank,Uttar Pradesh,KANPUR NAGAR,Kanpur," 117/O 461 ,Geeta Nagar, Kanpur",208025,N/A,8005192796,"0512 2501300, 0512 2502004",N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Private,NO,,24x7,UP/B&BP /2008/03,N/A,N/A,26.486118,80.290276
2545,Sneh Pathology X-ray and Blood Bank,Uttar Pradesh,KANPUR NAGAR,Kanpur,"133/10, O-Block, Kidwai Nagar",208023,0512 2601408,9415088785,N/A,N/A,snehpathology@gmail.com,,Dr. S.B. Tiwari,9415058785,9415058785,drsvtiwari56@gmail.com,MD Pathology,Private,YES,,24x7,07/SC/PO/1997,31-12-1997,30-12-2017,26.439394,80.33679
2546,"UHM, District Hospital",Uttar Pradesh,KANPUR NAGAR,Kanpur,"Shop No. 30/01, Mall Rd, Bada Chouraha, Parade Chouraha, Parade, Kanpur",208001,0512 2311144,9415068049,N/A,N/A,N/A,,Dr. S.C. Verma,9415068049,9415068049,N/A,MD (Pathology),Government,YES,,24x7,UP/B& BP/2011/08,29-07-2011,28-07-2016,26.474045,80.346099
2547,Air Force Hospital,Uttar Pradesh,KANPUR NAGAR,Kanpur," Nathu Singh Road, Saharanpur",208004,0581 2403584,N/A,N/A,N/A,,,,,,,,Government,,,24x7,,,,26.446739,80.375727
2548,CLM Hospital and Blood Bank,Uttar Pradesh,KANPUR NAGAR,Kanpur,"121/625, Industrial Estate, Shastri Nagar",208005,0512 2241595,N/A,N/A,N/A,,,,,,,,Private,,,24x7,,,,26.463772,80.296612
2549,Sai Blood Bank,Uttar Pradesh,KANPUR NAGAR,Kanpur,"N-2, Kidwai Nagar",208011,0512 2607720,N/A,N/A,N/A,,,,,,,,Private,,,N/A,,,,26.433311,80.322243
2550,Rama Medical College Hospital and Research Centre,Uttar Pradesh,KANPUR NAGAR,Kanpur,"Rama Medical College Hospital & Research Centre,
Blood Bank, GT Road, Mandhana, Kanpur",209217,"0512 2780882, 0512 2780886",8090167357,N/A,N/A,knverma10@gmail.com,http://www.ramamedicare.com,,,,,,Private,YES,NO,24x7,UP/B&BP/2008/06,17-04-2008,16-04-2018,26.567295,80.220837
2551,LPS Institute of Cardiology,Uttar Pradesh,KANPUR NAGAR,Kanpur,"Mall Road, Sarvodaya Nagar",208002,0512 2532269,9690261262,N/A,N/A,,,,,,,,Government,,,24x7,,,,26.481154,80.303811
2552,Tulsi Hospital Limited,Uttar Pradesh,KANPUR NAGAR,Kanpur,"14/116-A, Civil Lines",208001,"0512 2536404, 0512 2536406",9837184061,N/A,N/A,,,,,,,,Private,,,24x7,,,,26.479826,80.344033
2553,Krishna Super Speciality Hospital ,Uttar Pradesh,KANPUR NAGAR,Kanpur,"A Unit of Gita Healthcare Private Limited, 363, Harrisganj, Near Tatmil Chauraha",208004,"0512 2320061, 0512 2320071","09455931692, 08009710002",N/A,N/A,nabhkssh@gmail.com,http://www.krishna-hospital.com,Dr. Ravindra Srivas,..,9838540266,..,"MBBS, MD(Pathology)",Private,YES,NO,24x7,UP/B&B P/2014/18,12/9/2014,N/A,26.448475,80.344084
2554,Mayanjali Charitable Blood Bank ,Uttar Pradesh,KANPUR NAGAR,Kanpur,"14/113, Padam Towers, Civil Lines, Kanpur",,0512-2303228,7706974733,,,,,Dr. A.K. Gupta,,9307775184,,,Charity,YES,NO,,,,,#N/A,#N/A
2555,Madhulok Hospital,Uttar Pradesh,KANPUR NAGAR,Kanpur,"628,K-Block Kidwai Nagar ",,,9598060515,,,,,Dr. Sanjeev Mehrotra,,9598060515,madhulokhospital@rediffmail.com,,Private,NO,NO,,,,,26.423842,80.320745
2556,SPM Hospital Research and Trauma Centre Blood Bank,Uttar Pradesh,KANPUR NAGAR,Kanpur Nagar," A Unit of Tyco Hospitals Private Ltimited, C-48, Kalyanpur",208017,0512 2570553,9198607532,8090001632,0512 2570554,,http://www.spmhospital.com,Dr. Bharti Parashar,5122570553,9839009262,spmhospital07@gmail.com,MD (Pathology),Private,YES,NO,24x7,U.P./B&B.P/2104/02,18-02-2014,17-02-2019,26.501131,80.257486
2557,District Hospital,Uttar Pradesh,Kasganj,Kanshi Ram Nagar,"Mathura-Bareilly Road, Opposite Birla Hospital, Kashganj",N/A,N/A,N/A,N/A,N/A,,,,,,,,Government,,,N/A,,,,27.2715633,82.820974
2558,Combined District Hospital,Uttar Pradesh,KAUSHAMBI,Kaushambi,Manjhanpur,,05331 232030,"08005192672, 09412377198",N/A,N/A,,,,,,,,Government,,,N/A,,,,25.361049,81.403171
2559,Joint District Hospital,Uttar Pradesh,Kushinagar,Kushinagar,N/A,N/A,05564 240549,"09927031274, 09837886870",N/A,N/A,,,,,,,,Government,,,N/A,,,,26.7373,83.9334
2560,District Hospital,Uttar Pradesh,Lakhimpur Kheri,Lakhimpur Khiri,Auriya,262701,N/A,9415543070,N/A,N/A,,,,,,,,Government,,,N/A,,,,27.945898,80.784474
2561,District Hospital,Uttar Pradesh,LALITPUR,Lalitpur,Chitrakoot,284403,05176 272343,N/A,N/A,N/A,,,,,,,,Government,,,N/A,,,,24.696225,78.412323
2562,Dr. Shankuntala Misra Blood Bank,Uttar Pradesh,LUCKNOW,Bijnore,"Plot No. 463/1, Village Anaura
",,5222999862,,,,,,Dr. Honey Shasker,5222999862,,tsmmedicalcollege@gmail.com,,Private,NO,NO,,,,,#N/A,#N/A
2563,Career Institute of Medical Sciences and Hospital Blood Bank ,Uttar Pradesh,LUCKNOW,Ghailla,"A Unit of Career Convent Education and Charitable Trust, Sitapur-Hardoi Bypass Road, Near IIM",226020,"0522 2960429, 0522 2960439",N/A,N/A,N/A,,,,,,,,Private,,,N/A,,,,26.91543,80.909715
2564,Indira Diagnostic and Blood Bank Limited,Uttar Pradesh,LUCKNOW,Lucknow," Sanjay Gandhi Puram, Faizabad Road",226016,0522 2380084,9389476580,N/A,N/A,,,,,,,,Private,,,N/A,,,,26.870091,80.971582
2565,Sanjay Gandhi Post-Graduate Institute (SGPGI),Uttar Pradesh,LUCKNOW,Lucknow,"Department of Transfusion Medicine, Sanjay Gandhi Postgraduate Institute of Medical Sciences, Rae Bareli Road",226014,"0522 2494500, 0522 2495341",,N/A,0522 2668017,tmsgpgi@gmail.com,http://www.sgpgi.ac.in/,,,,,,Government,YES,YES,N/A,UP/B & BP/2007/05,,15.3.2017,26.742135,80.945981
2566,Sh. Chattrapati Shivaji Maharaj Chikitsalaya University,Uttar Pradesh,LUCKNOW,Lucknow,"KGMU, Lucknow",226003,N/A,9335349791,9453764078,N/A,,http://www.transfusionmed.info/,,,,,,Government,,,N/A,,,,26.813839,80.904558
2567,Balrampur Hospital Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"Balrampur Hospital, Chakbast Road, Qaiserbagh, Lucknow, Uttar Pradesh",226018,"0522 22624040, 0522 2629949",9415214308,N/A,N/A,,,,,,,,Government,,,24x7,,,,26.856601,80.926431
2568,Command Hospital Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,Faizabad,226002,0522 2296288,9415226197,N/A,N/A,,,,,,,,Government,,,24x7,,,,26.81745,80.940818
2569,Dr. Shyama Prasad Mukharjee Civil Hospital,Uttar Pradesh,LUCKNOW,Lucknow,Gorakhpur,226001,0522 2239595,9897406711,N/A,N/A,,,,,,,,Government,,,24x7,,,,26.844593,80.948999
2570,Vivekanand Polyclinic and Institute of Medical Sciences,Uttar Pradesh,LUCKNOW,Lucknow,Vrindaban,226007,"0522 2328942, 0522 2321277",9415034053,N/A,N/A,,,,,,,,Government,,,24x7,,,,26.875283,80.942804
2571,Kohli Blood Bank and Components Private limited,Uttar Pradesh,LUCKNOW,Lucknow,"2nd Floor, A-Block, Kanchan Market, Chowk",226003,0522 2259004,N/A,N/A,N/A,,,,,,,,Private,,,24x7,,,,26.865274,80.911431
2572,Eras Medical College and Hospital Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"Sarfaraj Ganj, Musabag, Picnic Spot-Hardoi Road",226003,"0522 2408122,0522 2408123",N/A,"0522 3226777, 0522 4153777 ",N/A,,http://www.elmcindia.org/,,,,,,Private,,,24x7,,,,26.878389,80.872448
2573,Shekhar Hospital Private Limited Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"B Block, Church Road, Indira Nagar, Lucknow",226016,"0522 2352352, 05224927272",9415022105,N/A,N/A,,,Dr.Richa Mishra,5224927272,"941,502,210,509,415,000,000",,,Private,YES,YES,N/A,UP/B&BP/2003/06,,14/11/2018,26.876188,80.985528
2574,Nidan Diagnostic Centre and Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"4/31, Captan Manoj Pandey Chauraha, Vivek Khand, Gomti Nagar",226010,0522 2393390,N/A,N/A,N/A,,,,,,,,Private,,,12AM to 7PM,,,,26.854084,80.995132
2575,Dr Ram Manohar Lohia Institute of Medical Sciences,Uttar Pradesh,LUCKNOW,Lucknow,Gomati Nagar,226010,N/A,"09997031902, 09897766466",N/A,N/A,,,,,,,,Government,,,24x7,,,,26.86889,80.999691
2576,St. Joseph Hospital Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"Vishal Khand-5, Gomti Nagar",226010,0522 4054247,"0522 4054228, 0522 4054236",N/A,0522 4054210,stjoseph2004@yahoo.com,,Dr. Charu Chandra,9452464549,9452464549,,,Charity,YES,,8AM to 4PM,,,,26.854293,80.991967
2577,B.N.K. Hospital Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"B-1/196 Nirala Nagar, Lucknow",226020,0522 4049945,9451817060,N/A,N/A,bipinverma5@gmail.com,http://www.nhp.gov.in/cms/naco_admin/update-bloodbank.php?,,,,,,Private,NO,NO,24 Hours,UP/B&BP/2008/02,7/1/2008,7/1/2013,26.879585,80.932757
2578,Lucknow Nursing Home Association Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"c 228, Officers Colony, Nirala Nagar",226020,0522 4070185,"07309036038, 09795017000",N/A,0522 4070285,,,Md. Zubair Khan,0522 4070185-285,9795017000,lnhabloodbank@yahoo.com,,Charity,YES,NO,24x7,,,,26.878474,80.938496
2579,Sahara Hospital Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"Viraj Khand, Gomati Nagar",226010,"0522 6781680, 0522 6781683",5226781683,0522 6780001 ,0522 6782110,,http://www.saharahospitals.com,Dr. Ashish Tewari,0522 6781689,0522 6781681,tewariashish74@gmail.com,MD TRANSFUSION MEDICINE,Private,YES,YES,24x7,U.P./B.&B.P./2009/01,11/4/2009,10/4/2014,26.850106,81.023867
2580,Divine Heart Hospital and Research Centre Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"Viraj Khand, Institutional Area - 5, Gomti Nagar",226010,"0522 2721991, 0522 2721995","09208883124, 09415207011, 09415287585",N/A,N/A,,http://www.divinehearthospital.com/,,,,,,Private,,,N/A,,,,26.859198,81.023215
2581,Nova Hospital Limited,Uttar Pradesh,LUCKNOW,Lucknow,"Patrakarpuram Crossing Vikash Khand-1,Gomti Nagar",226010,0522 2300024,N/A,N/A,N/A,,,,,,,,Private,,,24x7,,,,26.850001,80.983334
2582,Fatima Hospital Blood bank,Uttar Pradesh,LUCKNOW,Lucknow," 35-C, Mahanagar Colony",226006,"0522 2961196, 0522 2323195",7703001503,0522 2961196,5222332554,fatimahospitallko@gmail.com,,Dr. Sudhir Srivastawa, 0522 2323195,9839184374,Srivastavasudhir@gmail.com,MD (Pathology),Charity,NO,NO,24x7,UP/B.BP/2012/22,28-02-2012,27-08-2017,26.871551,80.952133
2583,Dr O P Choudhery Hospital Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"Chaudhary Vihar, Raibarely Road",226002,0522 2441172,N/A,N/A,N/A,,http://www.dropchaudharyhospital.com/,,,,,,Private,,,24x7,,,,26.785201,80.973148
2584,Integral Institute of Medical Sciences and Research Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"Kursi Road, Lucknow",226026,"0522 2890730, 0522 2890812",9415183133,N/A,N/A,,,,,,,,Private,,,24x7,,,,26.957942,81.002588
2585,Medison Hospital Private Limited Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"Medison Hospital & Blood Bank, UGF,D3 Durgapuram Colony Sector 13 VikasNagar, Near Goel Motors,Near Tedhi Pulia,Ring Road",226022,"0522 2739917, 0522 2739918","09389893307, 09935896313",N/A,0522 2739920,faizan1584@gmail.com,http://www.medisonhospital.com/,Faizan Iqbal,0522 2739917,9935896313,faizan1584@gmail.com,,Private,YES,YES,24x7,UP/B&BP/2013/10,17 Dec. 2013,,26.90491,80.959052
2586,Fehmina Hospital and Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"Victoriaganaj, Near Sunni Inter College, Tulsidas marg",226004,7860059998,"07860054449, 09415016897",N/A,N/A,fhbloodbank@gmail.com,http:/www.fehminahospital.com,Sufyan Khalid ,9415016897,7860054449,sufyan23@gmail.com,DIRECTOR,Private,YES,YES,24x7,U.P./B&B.P/2014/07,25-03-2014,24-03-2019,26.854943,80.90488
2587,GCRG Memorial Hospital & Charitable Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"Village-Parvatpur, Chandrika Devi Road, Bakshi Ka Talab",226001,,9559662557,,,ms.gcrgbs@gmail.com,,Dr. Garima,,9559662557,,,Private,NO,NO,,,,,26.842776,80.949164
2588,M.C. Saxena College of Medical Sciences Charitable Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"668, Saitha, IIM Dubagga Bypass, Mall Road
",226101,,9559912233,,,,,Dr. J.K. Satsangi,,9450020898,mcscms2013@gmail.com,,Private,NO,NO,,,,,26.9093654,80.8634396
2589,Charak Hospital and Research Center Blood Bank,Uttar Pradesh,LUCKNOW,Lucknow,"Dubagga Hardoi Road, Lucknow",226003,9415410623,,8765111111,,,,DR. ANIL KUMAR,,9415410623,anillucknow@hotmail.com,,Private,NO,NO,,,,,26.872555,80.871172
2590,Prasad Institute Of Medical Sciences,Uttar Pradesh,LUCKNOW,Lucknow,"Shahjadi, Banthara, Kanpur Road",,,9235407888,,,,,Dr. Balendra Singh Sodhi,,9335026437,balendrasodhi@gmail.com,,Charity,YES,2,,,,,26.671544,80.809239
2591,Combined District Hospital,Uttar Pradesh,MAHARAJGANJ,Maharajganj,N/A,N/A,05523 222204,N/A,N/A,N/A,,,,,,,,Government,,,N/A,,,,27.1422901,83.5387472
2592,District Hospital,Uttar Pradesh,MAHOBA,Mahoba,"Makaniya Purva, Mahoba",210427,N/A,N/A,N/A,N/A,,,,,,,,Government,,,N/A,,,,25.293146,79.88485
2593,District Hospital Blood Bank,Uttar Pradesh,MAINPURI,Mainpuri,Ghaziabad,205001,N/A,N/A,N/A,N/A,,,,,,,,Government,,,24x7,,,,26.6869797,79.4703885
2594,Agrawal Life Line Hospital and Trauma Centre Blood Bank,Uttar Pradesh,MATHURA,Aurangabad,"Kamdhenu Nagar, Agra Road",281006,0565 2430857,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Private,,,24x7,N/A,N/A,N/A,27.435244,77.701066
